value,index,id,disease
https://rarediseases.org/rare-diseases/aarskog-syndrome/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,aarskog syndrome
https://rarediseases.org/rare-diseases/abetalipoproteinemia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,abetalipoproteinemia
https://rarediseases.org/rare-diseases/ablepharon-macrostomia-syndrome/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,ablepharon macrostomia-syndrome
https://rarediseases.org/rare-diseases/acanthocheilonemiasis/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acanthocheilonemiasis
https://rarediseases.org/rare-diseases/acanthosis-nigricans/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acanthosis nigricans
https://rarediseases.org/rare-diseases/aceruloplasminemia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,aceruloplasminemia
https://rarediseases.org/rare-diseases/achalasia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,achalasia
https://rarediseases.org/rare-diseases/achard-thiers-syndrome/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,achard thiers-syndrome
https://rarediseases.org/rare-diseases/achondrogenesis/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,achondrogenesis
https://rarediseases.org/rare-diseases/achondroplasia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,achondroplasia
https://rarediseases.org/rare-diseases/acid-sphingomyelinase-deficiency/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acid sphingomyelinase-deficiency
https://rarediseases.org/rare-diseases/acidemia-methylmalonic/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acidemia methylmalonic
https://rarediseases.org/rare-diseases/acoustic-neuroma/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acoustic neuroma
https://rarediseases.org/rare-diseases/acquired-aplastic-anemia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acquired aplastic-anemia
https://rarediseases.org/rare-diseases/acquired-hemophilia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acquired hemophilia
https://rarediseases.org/rare-diseases/acquired-lipodystrophy/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acquired lipodystrophy
https://rarediseases.org/rare-diseases/acquired-neuromyotonia/,https://rarediseases.org/?s=A&post_type=rare-diseases,A,acquired neuromyotonia
